NAME,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,North Macedonia,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Oman,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,"Virgin Islands, British",Yemen,Zambia,Zimbabwe,Total
"New York-Newark-Jersey City, NY-NJ-PA",329.0,1681.0,400.0,15.0,6.0,165.0,544.0,217.0,,482.0,69.0,179.0,34.0,25.0,10159.0,180.0,501.0,113.0,134.0,109.0,11.0,39.0,163.0,79.0,8.0,1735.0,3.0,232.0,306.0,304.0,10.0,24.0,48.0,207.0,1208.0,7.0,12.0,14.0,222.0,22726.0,4229.0,71.0,42.0,500.0,59.0,1178.0,5.0,40.0,64.0,75.0,4.0,101.0,35495.0,6249.0,3624.0,3046.0,,24.0,30.0,155.0,9.0,59.0,,25.0,353.0,939.0,648.0,1891.0,368.0,423.0,1180.0,720.0,,4182.0,5928.0,2000.0,446.0,182.0,15.0,10768.0,218.0,506.0,138.0,397.0,1025.0,846.0,8470.0,649.0,566.0,288.0,311.0,,,3113.0,118.0,189.0,3.0,47.0,204.0,5.0,252.0,32.0,92.0,8.0,20.0,364.0,10.0,5.0,350.0,252.0,15.0,,53.0,15.0,3444.0,287.0,4.0,21.0,229.0,,828.0,8.0,,1458.0,157.0,81.0,203.0,24.0,1977.0,7.0,4910.0,,187.0,172.0,2836.0,3816.0,1549.0,253.0,26.0,375.0,1851.0,5.0,62.0,388.0,270.0,,221.0,496.0,224.0,,241.0,134.0,14.0,112.0,17.0,9.0,223.0,,503.0,401.0,190.0,86.0,3.0,174.0,134.0,388.0,518.0,282.0,49.0,273.0,358.0,,1901.0,71.0,1061.0,78.0,,55.0,2117.0,155.0,1698.0,65.0,247.0,2575.0,646.0,745.0,11.0,4606.0,34.0,53.0,192984.0
"Los Angeles-Long Beach-Anaheim, CA",507.0,49.0,37.0,,,,262.0,2466.0,,432.0,40.0,139.0,8.0,7.0,567.0,4.0,83.0,62.0,208.0,,,4.0,67.0,24.0,,511.0,7.0,110.0,3.0,273.0,3.0,,509.0,99.0,772.0,,,,63.0,11425.0,531.0,52.0,3.0,78.0,37.0,252.0,3.0,12.0,37.0,45.0,,,118.0,235.0,1323.0,4125.0,,39.0,9.0,248.0,45.0,32.0,5.0,4.0,7.0,121.0,347.0,56.0,73.0,,2095.0,,,26.0,35.0,893.0,483.0,88.0,7.0,2108.0,299.0,4097.0,479.0,62.0,487.0,296.0,130.0,772.0,291.0,94.0,87.0,,12.0,4453.0,76.0,43.0,20.0,33.0,331.0,,7.0,26.0,40.0,,21.0,10.0,,,117.0,,,,,,20181.0,73.0,,82.0,17.0,,123.0,,,319.0,80.0,100.0,273.0,,475.0,5.0,629.0,,36.0,17.0,731.0,6586.0,130.0,22.0,14.0,208.0,789.0,,,7.0,4.0,22.0,165.0,12.0,70.0,,26.0,69.0,,27.0,7.0,22.0,147.0,,163.0,231.0,62.0,,,111.0,68.0,725.0,973.0,14.0,11.0,601.0,5.0,22.0,21.0,33.0,275.0,14.0,,71.0,390.0,85.0,931.0,40.0,23.0,129.0,180.0,6668.0,,48.0,10.0,18.0,87986.0
"Miami-Fort Lauderdale-West Palm Beach, FL",9.0,64.0,31.0,8.0,,12.0,1218.0,12.0,,56.0,24.0,21.0,242.0,,437.0,29.0,96.0,36.0,23.0,,4.0,,141.0,13.0,,1918.0,,63.0,,53.0,,3.0,5.0,14.0,459.0,11.0,,,318.0,923.0,4209.0,7.0,,223.0,11.0,41042.0,9.0,6.0,21.0,17.0,,19.0,2635.0,770.0,127.0,505.0,,,13.0,22.0,,31.0,,3.0,,20.0,170.0,20.0,53.0,14.0,654.0,3.0,,172.0,7975.0,1753.0,44.0,79.0,,447.0,15.0,138.0,61.0,22.0,257.0,561.0,3850.0,47.0,85.0,54.0,15.0,,,106.0,18.0,22.0,6.0,13.0,89.0,,8.0,7.0,19.0,4.0,3.0,34.0,,,26.0,,,,,,1538.0,73.0,,,6.0,,112.0,3.0,,23.0,46.0,11.0,1308.0,,140.0,,238.0,,134.0,49.0,1480.0,937.0,116.0,64.0,3.0,192.0,468.0,3.0,28.0,30.0,11.0,,26.0,7.0,76.0,,4.0,9.0,3.0,25.0,10.0,,155.0,,873.0,25.0,20.0,17.0,,44.0,59.0,70.0,61.0,3.0,3.0,92.0,,,281.0,18.0,138.0,12.0,23.0,6.0,258.0,26.0,404.0,24.0,230.0,34.0,4783.0,446.0,,9.0,,19.0,88083.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1648.0,94.0,108.0,9.0,,8.0,130.0,61.0,,55.0,12.0,53.0,10.0,7.0,919.0,14.0,44.0,21.0,,72.0,,19.0,615.0,34.0,7.0,319.0,,107.0,37.0,104.0,21.0,,100.0,1441.0,245.0,,15.0,8.0,64.0,2060.0,413.0,225.0,14.0,48.0,8.0,102.0,,4.0,26.0,17.0,6.0,12.0,635.0,129.0,475.0,3669.0,,250.0,6.0,2938.0,4.0,19.0,,11.0,61.0,40.0,182.0,869.0,45.0,14.0,626.0,105.0,,122.0,203.0,762.0,52.0,30.0,7.0,2005.0,61.0,784.0,547.0,45.0,72.0,123.0,583.0,122.0,159.0,66.0,154.0,,,1137.0,44.0,33.0,20.0,16.0,124.0,4.0,215.0,23.0,15.0,,,22.0,22.0,19.0,61.0,29.0,,,34.0,10.0,777.0,69.0,,95.0,7.0,,395.0,3.0,4.0,956.0,33.0,26.0,158.0,11.0,1083.0,3.0,1457.0,,33.0,28.0,815.0,1190.0,64.0,26.0,16.0,87.0,325.0,19.0,3.0,10.0,13.0,,155.0,101.0,51.0,,432.0,26.0,,17.0,3.0,59.0,112.0,5.0,85.0,138.0,355.0,3.0,4.0,34.0,17.0,154.0,170.0,48.0,72.0,218.0,264.0,,126.0,30.0,189.0,7.0,,97.0,224.0,90.0,371.0,31.0,37.0,65.0,208.0,1220.0,,45.0,32.0,63.0,40203.0
"Chicago-Naperville-Elgin, IL-IN-WI",98.0,293.0,147.0,,,,54.0,16.0,,99.0,14.0,30.0,,19.0,125.0,4.0,139.0,9.0,106.0,38.0,3.0,92.0,26.0,107.0,,221.0,,502.0,3.0,391.0,5.0,,43.0,128.0,329.0,,10.0,,42.0,2078.0,325.0,138.0,38.0,47.0,27.0,125.0,,5.0,63.0,17.0,7.0,3.0,170.0,383.0,192.0,194.0,,40.0,9.0,202.0,,10.0,,,8.0,31.0,127.0,227.0,92.0,,310.0,13.0,,13.0,106.0,208.0,49.0,26.0,,4351.0,30.0,264.0,748.0,93.0,93.0,113.0,220.0,119.0,603.0,53.0,51.0,,3.0,782.0,73.0,115.0,10.0,22.0,60.0,,20.0,13.0,293.0,,7.0,261.0,,4.0,135.0,10.0,,,4.0,,9756.0,519.0,,116.0,29.0,,165.0,4.0,5.0,275.0,32.0,26.0,40.0,,702.0,8.0,1220.0,,16.0,,169.0,1900.0,1825.0,9.0,9.0,396.0,374.0,41.0,,5.0,,,114.0,16.0,308.0,,14.0,34.0,,44.0,6.0,57.0,76.0,,83.0,58.0,110.0,,,37.0,27.0,288.0,104.0,12.0,19.0,165.0,66.0,,14.0,15.0,133.0,12.0,,46.0,1231.0,64.0,308.0,9.0,12.0,95.0,122.0,676.0,,314.0,25.0,11.0,39292.0
"Houston-The Woodlands-Sugar Land, TX",558.0,42.0,59.0,31.0,,,172.0,7.0,,80.0,12.0,38.0,13.0,3.0,247.0,4.0,16.0,23.0,33.0,7.0,,51.0,32.0,12.0,,408.0,,16.0,21.0,209.0,8.0,,93.0,273.0,512.0,,,,28.0,1706.0,742.0,115.0,28.0,50.0,4.0,3170.0,,,7.0,20.0,,4.0,201.0,113.0,251.0,1760.0,,83.0,,268.0,4.0,4.0,,10.0,7.0,5.0,109.0,89.0,30.0,5.0,308.0,10.0,,15.0,44.0,928.0,38.0,18.0,,2238.0,86.0,616.0,1010.0,24.0,51.0,74.0,149.0,56.0,169.0,47.0,132.0,,,337.0,47.0,14.0,3.0,6.0,151.0,,51.0,35.0,4.0,,,13.0,,6.0,127.0,20.0,4.0,,,6.0,7857.0,19.0,,,,,77.0,4.0,,302.0,51.0,22.0,108.0,,1400.0,8.0,1310.0,,23.0,12.0,205.0,1109.0,47.0,12.0,21.0,63.0,147.0,26.0,,23.0,3.0,,101.0,22.0,9.0,,28.0,40.0,,6.0,,24.0,147.0,3.0,105.0,37.0,61.0,,,15.0,8.0,137.0,115.0,,38.0,156.0,23.0,,108.0,15.0,173.0,10.0,,22.0,88.0,99.0,657.0,16.0,21.0,26.0,844.0,2679.0,,20.0,6.0,25.0,37363.0
"San Francisco-Oakland-Hayward, CA",780.0,12.0,152.0,,,,99.0,48.0,,184.0,21.0,26.0,,4.0,95.0,,80.0,30.0,7.0,,,10.0,5.0,6.0,,425.0,,79.0,,337.0,,,66.0,35.0,502.0,,,,45.0,7517.0,143.0,17.0,5.0,34.0,11.0,62.0,,,26.0,31.0,,,42.0,34.0,236.0,1184.0,,162.0,18.0,245.0,194.0,21.0,4.0,3.0,,15.0,260.0,44.0,49.0,,1035.0,9.0,,3.0,34.0,265.0,369.0,32.0,4.0,3022.0,114.0,567.0,70.0,141.0,173.0,155.0,42.0,261.0,118.0,23.0,69.0,,,551.0,28.0,38.0,17.0,7.0,38.0,,24.0,8.0,20.0,,24.0,7.0,,,114.0,4.0,,4.0,,5.0,4150.0,44.0,,143.0,,,67.0,,,509.0,63.0,44.0,187.0,,175.0,,486.0,,12.0,4.0,318.0,3281.0,90.0,21.0,7.0,92.0,468.0,,,3.0,,3.0,69.0,6.0,34.0,,13.0,89.0,,9.0,5.0,,63.0,,119.0,59.0,46.0,,,75.0,45.0,75.0,416.0,13.0,9.0,183.0,4.0,56.0,13.0,23.0,180.0,,,19.0,218.0,38.0,617.0,6.0,5.0,54.0,109.0,1418.0,,809.0,,9.0,35873.0
"Dallas-Fort Worth-Arlington, TX",490.0,49.0,31.0,9.0,,3.0,93.0,9.0,,59.0,8.0,10.0,11.0,4.0,400.0,,7.0,25.0,26.0,12.0,4.0,145.0,36.0,19.0,,283.0,,48.0,5.0,863.0,19.0,,75.0,234.0,253.0,,9.0,,26.0,1218.0,261.0,595.0,16.0,51.0,7.0,483.0,,3.0,14.0,6.0,,6.0,161.0,41.0,341.0,945.0,3.0,123.0,,568.0,7.0,21.0,,8.0,30.0,,61.0,179.0,17.0,5.0,185.0,12.0,,20.0,28.0,386.0,57.0,18.0,4.0,2552.0,51.0,520.0,852.0,27.0,102.0,57.0,125.0,81.0,216.0,20.0,464.0,,,786.0,61.0,11.0,20.0,9.0,90.0,,85.0,16.0,7.0,,,17.0,,7.0,190.0,,,,,,9572.0,12.0,,,3.0,,92.0,12.0,,1102.0,25.0,17.0,51.0,,934.0,10.0,762.0,,22.0,6.0,176.0,642.0,53.0,4.0,14.0,43.0,97.0,96.0,4.0,10.0,,,87.0,17.0,8.0,,45.0,16.0,,8.0,,125.0,111.0,3.0,53.0,60.0,136.0,,,28.0,11.0,102.0,145.0,7.0,20.0,160.0,54.0,5.0,28.0,8.0,72.0,4.0,,45.0,87.0,78.0,324.0,16.0,11.0,12.0,185.0,1855.0,,17.0,27.0,102.0,33342.0
"Boston-Cambridge-Newton, MA-NH",51.0,497.0,84.0,27.0,,9.0,56.0,62.0,,75.0,14.0,21.0,6.0,,285.0,10.0,57.0,23.0,3.0,5.0,4.0,30.0,28.0,10.0,,1462.0,,99.0,,49.0,7.0,1474.0,335.0,170.0,381.0,,,,37.0,2485.0,506.0,137.0,7.0,33.0,9.0,57.0,,,17.0,16.0,6.0,3.0,4660.0,87.0,262.0,673.0,,36.0,4.0,244.0,,17.0,,3.0,9.0,12.0,176.0,118.0,110.0,7.0,416.0,32.0,10.0,43.0,1855.0,268.0,77.0,23.0,6.0,1428.0,60.0,262.0,203.0,171.0,227.0,167.0,377.0,89.0,88.0,27.0,235.0,,,313.0,19.0,10.0,9.0,11.0,157.0,,81.0,13.0,14.0,,,13.0,3.0,3.0,43.0,,,,,,245.0,64.0,,7.0,,6.0,481.0,,,423.0,52.0,18.0,28.0,,370.0,,223.0,,13.0,,143.0,237.0,63.0,95.0,5.0,79.0,336.0,18.0,,18.0,6.0,,48.0,29.0,24.0,,39.0,11.0,,9.0,,66.0,71.0,5.0,165.0,42.0,64.0,,3.0,32.0,39.0,78.0,144.0,10.0,29.0,108.0,4.0,,57.0,7.0,188.0,,,269.0,203.0,23.0,438.0,12.0,15.0,37.0,119.0,1088.0,,6.0,13.0,20.0,28263.0
"Atlanta-Sandy Springs-Roswell, GA",197.0,20.0,29.0,4.0,,18.0,78.0,17.0,,47.0,9.0,3.0,53.0,3.0,472.0,16.0,25.0,33.0,11.0,24.0,13.0,256.0,18.0,26.0,5.0,514.0,,65.0,16.0,565.0,10.0,,65.0,184.0,208.0,3.0,6.0,,24.0,1012.0,551.0,300.0,30.0,61.0,10.0,284.0,,,17.0,21.0,8.0,7.0,425.0,100.0,91.0,357.0,3.0,116.0,4.0,713.0,4.0,15.0,,13.0,123.0,17.0,108.0,304.0,20.0,8.0,273.0,95.0,6.0,100.0,279.0,276.0,22.0,11.0,,1965.0,57.0,334.0,191.0,20.0,114.0,47.0,1032.0,90.0,62.0,17.0,237.0,,3.0,1083.0,25.0,8.0,13.0,8.0,39.0,,121.0,32.0,15.0,,,5.0,,10.0,123.0,19.0,,,,4.0,2402.0,48.0,,,,,109.0,,3.0,286.0,41.0,11.0,48.0,,1050.0,4.0,484.0,,29.0,3.0,202.0,248.0,43.0,13.0,4.0,105.0,147.0,61.0,12.0,20.0,11.0,,24.0,76.0,22.0,,63.0,7.0,3.0,5.0,,102.0,87.0,,51.0,29.0,47.0,5.0,,6.0,26.0,40.0,53.0,4.0,26.0,174.0,99.0,,109.0,9.0,125.0,,,30.0,105.0,23.0,302.0,11.0,39.0,30.0,245.0,1388.0,4.0,10.0,39.0,28.0,23325.0
"Seattle-Tacoma-Bellevue, WA",446.0,18.0,20.0,,,,37.0,21.0,,134.0,6.0,20.0,3.0,,65.0,,94.0,15.0,5.0,,,70.0,8.0,26.0,,188.0,,60.0,13.0,199.0,5.0,,217.0,29.0,591.0,,9.0,,39.0,2088.0,107.0,146.0,39.0,11.0,9.0,20.0,,3.0,24.0,15.0,7.0,,28.0,21.0,145.0,130.0,,175.0,5.0,906.0,60.0,24.0,,,143.0,8.0,128.0,28.0,24.0,,87.0,28.0,,3.0,25.0,88.0,117.0,16.0,,1585.0,109.0,294.0,532.0,48.0,114.0,55.0,40.0,204.0,56.0,40.0,363.0,,,673.0,28.0,29.0,23.0,10.0,37.0,,23.0,15.0,8.0,4.0,,7.0,8.0,14.0,75.0,12.0,,,,5.0,1561.0,210.0,,50.0,,,29.0,3.0,,251.0,37.0,37.0,19.0,,72.0,3.0,215.0,,13.0,4.0,110.0,1362.0,58.0,23.0,3.0,139.0,423.0,18.0,,3.0,,33.0,40.0,28.0,14.0,,18.0,38.0,,3.0,5.0,362.0,90.0,4.0,73.0,31.0,27.0,,,31.0,14.0,36.0,224.0,4.0,27.0,195.0,17.0,9.0,4.0,,112.0,10.0,,41.0,598.0,31.0,269.0,4.0,,42.0,48.0,1721.0,,49.0,12.0,9.0,20323.0
"San Jose-Sunnyvale-Santa Clara, CA",170.0,,8.0,,,,58.0,25.0,,62.0,13.0,16.0,,7.0,99.0,,101.0,21.0,,,4.0,,3.0,13.0,3.0,172.0,,19.0,,40.0,,,54.0,18.0,301.0,,,,27.0,2705.0,56.0,8.0,3.0,11.0,5.0,22.0,,4.0,19.0,15.0,,,6.0,8.0,91.0,199.0,,32.0,8.0,184.0,21.0,56.0,,,3.0,19.0,149.0,4.0,20.0,,96.0,,,,,66.0,154.0,34.0,,2514.0,51.0,648.0,47.0,65.0,339.0,81.0,9.0,214.0,55.0,40.0,18.0,,,566.0,18.0,18.0,,11.0,26.0,,,5.0,7.0,,9.0,6.0,,,62.0,,,,,6.0,2174.0,25.0,,5.0,,,17.0,,,151.0,40.0,17.0,18.0,,34.0,,205.0,,,,82.0,1278.0,77.0,29.0,6.0,51.0,298.0,3.0,,,,7.0,31.0,,20.0,,13.0,54.0,,6.0,7.0,11.0,35.0,,89.0,38.0,13.0,,,62.0,14.0,24.0,556.0,,,74.0,,11.0,,5.0,113.0,5.0,,7.0,171.0,37.0,237.0,3.0,4.0,20.0,25.0,3252.0,,5.0,4.0,4.0,19514.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",106.0,386.0,241.0,6.0,,4.0,44.0,28.0,,30.0,5.0,12.0,4.0,7.0,707.0,10.0,102.0,5.0,12.0,30.0,3.0,65.0,4.0,10.0,,178.0,,51.0,31.0,107.0,,3.0,140.0,86.0,142.0,,3.0,,24.0,1689.0,183.0,75.0,3.0,44.0,3.0,74.0,,4.0,14.0,10.0,,5.0,1593.0,121.0,278.0,56.0,,38.0,,155.0,,6.0,,,15.0,116.0,71.0,228.0,53.0,,99.0,82.0,,47.0,431.0,105.0,34.0,13.0,,2326.0,74.0,108.0,136.0,42.0,66.0,67.0,628.0,53.0,72.0,24.0,110.0,,,342.0,19.0,40.0,,,25.0,,683.0,9.0,10.0,,,10.0,,4.0,38.0,64.0,,,11.0,3.0,753.0,34.0,,4.0,6.0,,185.0,,,136.0,20.0,10.0,21.0,4.0,335.0,13.0,500.0,,10.0,5.0,82.0,412.0,104.0,15.0,3.0,43.0,260.0,9.0,,9.0,12.0,,38.0,26.0,12.0,,164.0,7.0,,9.0,,,49.0,,38.0,29.0,78.0,3.0,,12.0,5.0,76.0,57.0,15.0,10.0,62.0,45.0,,93.0,20.0,173.0,5.0,,8.0,421.0,33.0,228.0,7.0,8.0,212.0,82.0,765.0,,76.0,5.0,27.0,19078.0
"San Diego-Carlsbad, CA",503.0,13.0,8.0,,,,30.0,14.0,,73.0,4.0,5.0,,5.0,17.0,,25.0,11.0,4.0,6.0,,,5.0,7.0,,175.0,,22.0,,65.0,16.0,,47.0,8.0,212.0,,,,20.0,807.0,80.0,40.0,9.0,17.0,4.0,82.0,,,7.0,5.0,,,37.0,19.0,64.0,44.0,,23.0,3.0,154.0,5.0,17.0,,,4.0,9.0,74.0,23.0,12.0,,149.0,,,4.0,22.0,50.0,24.0,17.0,,414.0,25.0,429.0,1801.0,23.0,64.0,89.0,35.0,140.0,60.0,33.0,52.0,,,312.0,19.0,3.0,13.0,15.0,49.0,,8.0,4.0,,3.0,,4.0,,,17.0,,,,,,7379.0,17.0,,4.0,,,20.0,3.0,,39.0,21.0,15.0,12.0,,44.0,,53.0,,7.0,3.0,41.0,1897.0,31.0,,4.0,31.0,151.0,4.0,,,,,22.0,5.0,30.0,,3.0,17.0,,4.0,,106.0,30.0,6.0,48.0,17.0,5.0,,,25.0,21.0,124.0,121.0,,4.0,77.0,12.0,,3.0,5.0,63.0,,,20.0,88.0,17.0,156.0,9.0,4.0,36.0,35.0,887.0,,8.0,,8.0,18504.0
"Riverside-San Bernardino-Ontario, CA",89.0,12.0,8.0,,,,38.0,5.0,,16.0,6.0,,,,111.0,,,4.0,21.0,,,,11.0,10.0,,46.0,,10.0,,18.0,,,54.0,17.0,113.0,,,,25.0,1157.0,114.0,9.0,,15.0,,77.0,,,5.0,3.0,,,26.0,34.0,318.0,457.0,,3.0,,34.0,12.0,,,,3.0,3.0,54.0,39.0,7.0,,310.0,,,,9.0,149.0,25.0,12.0,,610.0,116.0,111.0,74.0,8.0,22.0,19.0,44.0,46.0,125.0,7.0,47.0,,3.0,252.0,12.0,3.0,17.0,3.0,61.0,,4.0,4.0,,,,6.0,,3.0,23.0,,,,,,7814.0,11.0,,,,,33.0,,,32.0,9.0,11.0,66.0,,158.0,,189.0,,8.0,,145.0,1340.0,31.0,7.0,6.0,35.0,35.0,19.0,,,,5.0,28.0,3.0,9.0,,3.0,6.0,,7.0,,,12.0,,18.0,23.0,7.0,,,9.0,3.0,234.0,144.0,,,87.0,3.0,10.0,4.0,4.0,23.0,7.0,,8.0,24.0,16.0,87.0,4.0,4.0,6.0,28.0,557.0,,13.0,3.0,8.0,16465.0
"Detroit-Warren-Dearborn, MI",81.0,711.0,13.0,,,,13.0,16.0,,22.0,4.0,3.0,5.0,,1181.0,,13.0,10.0,,6.0,,,,18.0,,93.0,,28.0,4.0,3.0,,,15.0,42.0,410.0,,,,7.0,465.0,38.0,4.0,,5.0,9.0,9.0,,,4.0,,,,86.0,10.0,159.0,24.0,,5.0,,26.0,,7.0,,,27.0,4.0,108.0,24.0,24.0,,18.0,6.0,,9.0,10.0,28.0,15.0,9.0,,1069.0,12.0,64.0,2268.0,10.0,29.0,72.0,78.0,57.0,192.0,11.0,20.0,,,225.0,58.0,,10.0,5.0,547.0,,21.0,25.0,3.0,,,85.0,,6.0,12.0,,,,6.0,,748.0,10.0,,,35.0,,33.0,,,51.0,13.0,8.0,,,190.0,5.0,325.0,,5.0,,25.0,299.0,92.0,5.0,16.0,168.0,67.0,3.0,,4.0,,,82.0,36.0,12.0,,5.0,3.0,,3.0,,3.0,27.0,,20.0,22.0,27.0,,,13.0,4.0,254.0,31.0,,7.0,41.0,5.0,,4.0,22.0,29.0,3.0,,13.0,273.0,53.0,114.0,8.0,,17.0,29.0,236.0,,3389.0,4.0,8.0,15615.0
"Phoenix-Mesa-Scottsdale, AZ",155.0,36.0,4.0,,,,27.0,9.0,,43.0,4.0,,,3.0,86.0,,4.0,5.0,14.0,,,33.0,4.0,23.0,,70.0,,35.0,,212.0,21.0,,29.0,40.0,275.0,,4.0,,21.0,447.0,91.0,128.0,60.0,54.0,5.0,519.0,,,9.0,,,,51.0,19.0,54.0,106.0,,45.0,4.0,105.0,7.0,7.0,,,4.0,,43.0,33.0,25.0,,145.0,4.0,,15.0,26.0,54.0,8.0,12.0,,656.0,21.0,187.0,820.0,11.0,22.0,21.0,64.0,44.0,67.0,7.0,81.0,,,133.0,13.0,4.0,3.0,3.0,33.0,,30.0,11.0,3.0,,,10.0,,,85.0,,,,,,6017.0,24.0,,,,,19.0,,,74.0,12.0,8.0,20.0,,115.0,3.0,61.0,,7.0,4.0,76.0,631.0,17.0,,3.0,153.0,57.0,45.0,,,,3.0,17.0,4.0,15.0,,23.0,5.0,,5.0,,77.0,30.0,8.0,23.0,12.0,80.0,,,11.0,4.0,85.0,38.0,,7.0,85.0,15.0,11.0,8.0,5.0,36.0,,,30.0,62.0,13.0,140.0,17.0,4.0,18.0,44.0,481.0,,4.0,15.0,14.0,14361.0
"Orlando-Kissimmee-Sanford, FL",5.0,29.0,8.0,,,9.0,75.0,5.0,3.0,28.0,4.0,10.0,40.0,,99.0,4.0,22.0,6.0,,,7.0,,11.0,6.0,,644.0,,10.0,,25.0,,4.0,7.0,17.0,115.0,3.0,,,49.0,301.0,817.0,14.0,12.0,63.0,,1446.0,,,3.0,14.0,,,1075.0,196.0,169.0,72.0,,6.0,7.0,14.0,,6.0,,5.0,4.0,5.0,56.0,18.0,7.0,7.0,53.0,,,184.0,1481.0,127.0,8.0,15.0,,366.0,11.0,67.0,81.0,12.0,20.0,33.0,853.0,32.0,33.0,12.0,51.0,,,55.0,7.0,12.0,3.0,,26.0,,5.0,6.0,5.0,,,6.0,,,14.0,,,,,4.0,432.0,191.0,,,,,217.0,,,24.0,17.0,8.0,38.0,,100.0,,145.0,,28.0,5.0,201.0,472.0,18.0,9.0,,21.0,97.0,10.0,7.0,26.0,4.0,3.0,26.0,4.0,8.0,,,4.0,7.0,,,,33.0,,57.0,9.0,7.0,4.0,,9.0,8.0,41.0,17.0,8.0,15.0,32.0,3.0,,79.0,23.0,45.0,3.0,3.0,,68.0,11.0,276.0,9.0,24.0,17.0,679.0,367.0,,6.0,13.0,10.0,13142.0
"Minneapolis-Saint Paul-Bloomington, MN-WI",55.0,6.0,17.0,,,5.0,6.0,,,23.0,4.0,,4.0,,32.0,,60.0,,,9.0,,61.0,10.0,9.0,4.0,53.0,,9.0,4.0,470.0,4.0,,160.0,208.0,118.0,,,,16.0,416.0,74.0,52.0,,14.0,3.0,23.0,,,3.0,5.0,59.0,,54.0,243.0,91.0,125.0,,63.0,7.0,1123.0,,6.0,,,38.0,3.0,38.0,95.0,5.0,,76.0,34.0,,55.0,26.0,71.0,11.0,7.0,,597.0,16.0,66.0,152.0,7.0,19.0,18.0,50.0,27.0,56.0,12.0,663.0,,,78.0,13.0,7.0,171.0,,26.0,,535.0,,,,,3.0,,,22.0,6.0,3.0,,,,1108.0,36.0,,10.0,,,38.0,,,175.0,11.0,14.0,15.0,,265.0,,73.0,,,3.0,40.0,321.0,19.0,,,27.0,66.0,3.0,,,,,24.0,5.0,,,31.0,3.0,,5.0,,1499.0,127.0,4.0,15.0,27.0,18.0,,,3.0,4.0,22.0,20.0,12.0,23.0,355.0,83.0,,8.0,7.0,14.0,9.0,,57.0,89.0,13.0,103.0,4.0,,22.0,28.0,477.0,,18.0,12.0,5.0,12084.0
